Molecular Genetics and Microbiology,Honours Bachelor of Science,"Specialist, Major"
Music,Honours Bachelor of Arts,"Specialist, Major"
Music (Faculty of Music),Bachelor of Music | Bachelor of Music in Performance,"Program, Minor"
Music and Culture,Honours Bachelor of Arts,"Minor, Major"
Music in Performance,Bachelor of Music in Performance | Bachelor of Music,"Program, Minor"
Music with Ensemble Option,Honours Bachelor of Arts,"Specialist, Major"
Near and Middle Eastern Civilizations,Honours Bachelor of Arts,"Specialist, Minor, Major"
Neuroscience,Honours Bachelor of Science,"Specialist, Major"
Neuroscience,Honours Bachelor of Science,"Specialist, Major"
New Media Studies (Joint Program with Centennial College),Honours Bachelor of Arts,Major
Nursing,Bachelor of Science in Nursing,Program
Nutritional Sciences,Honours Bachelor of Science,Major
Paleontology,Honours Bachelor of Science,Major
Paramedicine (Joint Program with Centennial College),Honours Bachelor of Science,Specialist
Pathobiology,Honours Bachelor of Science,Specialist
"Peace, Conflict and Justice",Honours Bachelor of Arts,"Specialist, Major"
Pharmaceutical Chemistry,Honours Bachelor of Science,Specialist
Pharmacology,Honours Bachelor of Science,"Specialist, Major"
Pharmacology and Biomedical Toxicology,Honours Bachelor of Science,Specialist
Pharmacy,Doctor of Pharmacy,Program
Philosophy,Honours Bachelor of Arts,"Specialist, Minor, Major"
Philosophy,Honours Bachelor of Arts,"Specialist, Minor, Major"
Philosophy,Honours Bachelor of Arts,"Specialist, Minor, Major"
Philosophy and Physics,Honours Bachelor of Science,Specialist
Physical and Environmental Geography,Honours Bachelor of Science,"Specialist, Minor, Major"
Physical and Human Geography,Honours Bachelor of Arts,Major
Physical and Mathematical Sciences,Honours Bachelor of Science,Specialist
Physical Sciences,Honours Bachelor of Science,Major
Physician Assistant,Bachelor of Science Physician Assistant,Program
Physics,Honours Bachelor of Science,"Specialist, Minor, Major"
Physics,Honours Bachelor of Science,"Minor, Major"
Physics and Astrophysics,Honours Bachelor of Science,"Specialist, Major"
Physiology,Honours Bachelor of Science,"Specialist, Minor, Major"
Planetary Science,Honours Bachelor of Science,Specialist
Polish Language and Literature,Honours Bachelor of Arts,"Minor, Major"
Polish Studies,Honours Bachelor of Arts,"Minor, Major"
Political Science,Honours Bachelor of Arts,"Specialist, Minor, Major"
Political Science,Honours Bachelor of Arts,"Specialist, Minor, Major"
Political Science,Honours Bachelor of Arts,"Specialist, Minor, Major"
Portuguese,Honours Bachelor of Arts,"Specialist, Minor, Major"
Prehistoric Archaeology,Honours Bachelor of Arts,Major
Professional Writing and Communication,Honours Bachelor of Arts,"Minor, Major"
Psycholinguistics,Honours Bachelor of Arts | Honours Bachelor of Science,Specialist
